[INFO] [1777011571.242975278] [perception_node]: Perception node started
[INFO] [1777011574.937601312] [perception_node]: left=0.22, front=0.36, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.040396689] [perception_node]: left=0.27, front=0.20, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.137404589] [perception_node]: left=0.24, front=0.24, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.240109794] [perception_node]: left=0.27, front=0.20, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.336682248] [perception_node]: left=0.21, front=0.20, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.438902233] [perception_node]: left=0.23, front=0.23, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.537161833] [perception_node]: left=0.31, front=0.23, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.639791564] [perception_node]: left=0.21, front=0.24, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.736853635] [perception_node]: left=0.21, front=0.55, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.840035506] [perception_node]: left=0.35, front=0.51, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011575.937385351] [perception_node]: left=0.27, front=0.32, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011576.037907028] [perception_node]: left=0.30, front=0.24, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011576.137375882] [perception_node]: left=0.26, front=0.27, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011576.240262955] [perception_node]: left=0.35, front=0.24, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011576.336588773] [perception_node]: left=0.24, front=0.31, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011576.437037626] [perception_node]: left=0.24, front=0.44, right=inf, camera_detected=True, camera_pos=center, red_ratio=0.083 -> front_blocked_turn_right_camera_object_center
[INFO] [1777011576.537944785] [perception_node]: left=0.27, front=0.22, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011576.637024058] [perception_node]: left=0.20, front=0.26, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011576.739926250] [perception_node]: left=0.21, front=0.22, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011576.845284948] [perception_node]: left=0.40, front=0.22, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011576.938602298] [perception_node]: left=0.45, front=0.36, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.037253784] [perception_node]: left=0.29, front=0.30, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.136813767] [perception_node]: left=0.27, front=1.45, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> left_blocked_camera_object_left
[INFO] [1777011577.238194420] [perception_node]: left=0.23, front=0.33, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.337893178] [perception_node]: left=0.32, front=0.22, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.437006605] [perception_node]: left=0.22, front=0.45, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.537300260] [perception_node]: left=0.29, front=0.48, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.639056035] [perception_node]: left=0.27, front=0.33, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.736524020] [perception_node]: left=0.30, front=0.25, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.840116315] [perception_node]: left=0.52, front=0.29, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
[INFO] [1777011577.936810296] [perception_node]: left=0.22, front=0.26, right=inf, camera_detected=True, camera_pos=left, red_ratio=0.083 -> front_blocked_turn_right_camera_object_left
