[INFO] [1777011581.638981248] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011581.738276715] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011581.839760680] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011581.938723981] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.041063482] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.138629958] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.237883905] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.342604335] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.438294323] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.538771242] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.638220987] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.740519965] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.838669747] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011582.938565137] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.037499949] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.138526130] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.237602792] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.337995193] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.437232825] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.539923018] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.640548799] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.737267145] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.842010920] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011583.937607248] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011584.039492305] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.137200797] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.238363357] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.337739912] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.440128530] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.537456270] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.637429310] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.737019336] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.837564029] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011584.937442485] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.040675954] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.138049818] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.245663270] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.338039260] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.440162249] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.537713740] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.637262273] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.737271805] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.837743212] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011585.939751677] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011586.042944431] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011586.137659838] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.237789155] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.337383460] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.438193369] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.538051809] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.638149367] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.744896498] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.838341575] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011586.941926880] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.039962177] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.137565126] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.240619314] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.337937432] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.438848310] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.537936395] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.639889919] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.740245346] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.837181849] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011587.938515306] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.040316394] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.139037535] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.239876926] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.338220824] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.439078077] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.542636179] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.637475181] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.738009785] [control_node]: cmd_vel published: linear.x=0.05, angular.z=2.00
[INFO] [1777011588.837932412] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011588.937377239] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.037278790] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.139669581] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.240524721] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.338050441] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.437499716] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.537428871] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.638884748] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.738730859] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.837843928] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011589.937617082] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.039283545] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.138353113] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.243063502] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.337386946] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.437693966] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.540696905] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.637508734] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.740883418] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.839258702] [control_node]: cmd_vel published: linear.x=0.00, angular.z=0.00
[INFO] [1777011590.943011778] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.037293790] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.141704556] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.237955746] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.338259247] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.439470145] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.538040282] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.640275560] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.737761033] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
[INFO] [1777011591.837581714] [control_node]: cmd_vel published: linear.x=0.05, angular.z=-2.00
