[INFO] [1777006595.978660949] [decision_node]: Decision node started
[INFO] [1777006596.456939380] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.457878897] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.458719034] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.529303627] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.530355983] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.531325720] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.545873882] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.546776516] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.547626576] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.556254830] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.557077678] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.557843145] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.629582414] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.630684547] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.631604365] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
[INFO] [1777006596.647221637] [decision_node]: perception=front_blocked_turn_right_camera_object_detected -> vector=(x=0.10, y=0.00, z=-0.70)
